child_term_id,parent_term_id,pattern_count,from_head_heuristic,llm_label,llm_confidence,confidence,created_at,updated_at
1578,835,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1019,54,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2244,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
279,15,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1396,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1984,309,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
606,1,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
984,114,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1278,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2222,366,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1899,777,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
954,1501,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
910,3,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
707,708,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1213,678,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2184,110,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2207,75,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1136,184,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
2181,840,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
1870,81,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
943,692,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
345,81,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
782,82,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
772,334,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
174,101,0,1,,,0.3,2025-11-24T06:32:20Z,2025-11-24T06:32:20Z
