term_id,tf,df,idf,tf_idf,updated_at
68,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
69,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
70,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T20:56:51Z
71,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T20:56:51Z
72,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
73,15.0,3,1.2231435513142097,18.347153269713147,2025-11-30T20:56:51Z
74,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
75,6.0,2,1.5108256237659907,9.064953742595945,2025-11-30T20:56:51Z
76,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
77,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
78,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
79,11.0,2,1.5108256237659907,16.619081861425897,2025-11-30T20:56:51Z
80,128.0,2,1.5108256237659907,193.3856798420468,2025-11-30T20:56:51Z
81,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
82,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
83,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
84,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
85,103.0,4,1.0,103.0,2025-11-30T20:56:51Z
86,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
87,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
88,3.0,1,1.916290731874155,5.748872195622465,2025-11-30T20:56:51Z
89,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
90,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
91,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
92,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
93,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
94,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
95,7.0,2,1.5108256237659907,10.575779366361935,2025-11-30T20:56:51Z
96,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
97,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
98,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
99,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
100,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
101,2.0,1,1.916290731874155,3.83258146374831,2025-11-30T20:56:51Z
102,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
103,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
104,3.0,3,1.2231435513142097,3.669430653942629,2025-11-30T20:56:51Z
105,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
106,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
107,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
108,37.0,3,1.2231435513142097,45.25631139862576,2025-11-30T20:56:51Z
109,5.0,1,1.916290731874155,9.581453659370776,2025-11-30T20:56:51Z
110,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
111,20.0,2,1.5108256237659907,30.216512475319814,2025-11-30T20:56:51Z
112,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
113,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
114,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
115,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
116,1.0,1,1.916290731874155,1.916290731874155,2025-11-30T20:56:51Z
117,4.0,1,1.916290731874155,7.66516292749662,2025-11-30T20:56:51Z
