term_id,doc_id,sent_idx,token_start,token_end,cleaned_version
135,doc_0381,13,1,1,1
437,doc_0381,13,5,6,1
438,doc_0381,13,8,10,1
30,doc_0381,14,0,0,1
439,doc_0381,15,1,2,1
76,doc_0381,16,1,2,1
440,doc_0381,17,2,3,1
441,doc_0381,17,4,4,1
442,doc_0381,17,6,7,1
76,doc_0381,17,17,18,1
443,doc_0381,17,20,20,1
444,doc_0381,17,24,24,1
445,doc_0381,19,29,29,1
443,doc_0381,19,36,36,1
444,doc_0381,19,40,40,1
445,doc_0381,20,24,24,1
446,doc_0381,20,31,32,1
445,doc_0381,21,0,0,1
215,doc_0381,21,7,7,1
445,doc_0381,22,0,0,1
447,doc_0381,22,7,8,1
448,doc_0381,22,10,11,1
445,doc_0381,23,0,0,1
449,doc_0381,23,7,9,1
215,doc_0381,23,18,18,1
445,doc_0381,24,0,0,1
215,doc_0381,24,7,7,1
450,doc_0381,24,9,10,1
445,doc_0381,25,0,0,1
215,doc_0381,25,7,7,1
445,doc_0381,26,0,0,1
451,doc_0381,26,7,8,1
452,doc_0381,26,10,11,1
453,doc_0381,26,21,21,1
231,doc_0381,27,0,0,1
146,doc_0381,28,1,2,1
454,doc_0381,29,0,1,1
146,doc_0381,29,3,4,1
455,doc_0381,29,6,6,1
456,doc_0381,31,6,7,1
457,doc_0381,31,9,11,1
458,doc_0381,31,14,15,1
459,doc_0381,32,1,3,1
30,doc_0381,32,13,13,1
11,doc_0381,33,12,12,1
460,doc_0381,33,14,14,1
461,doc_0381,33,16,16,1
462,doc_0381,34,9,9,1
463,doc_0381,34,11,13,1
464,doc_0381,35,6,7,1
465,doc_0381,36,0,0,1
466,doc_0381,36,2,3,1
467,doc_0381,36,5,7,1
468,doc_0381,37,0,0,1
462,doc_0381,37,2,2,1
463,doc_0381,37,4,6,1
469,doc_0381,40,3,5,1
30,doc_0381,41,0,0,1
470,doc_0381,42,6,7,1
471,doc_0381,43,0,1,1
441,doc_0381,44,7,7,1
472,doc_0381,45,0,0,1
473,doc_0381,46,8,9,1
474,doc_0381,46,11,12,1
443,doc_0381,46,17,17,1
475,doc_0381,46,19,21,1
476,doc_0381,46,23,24,1
88,doc_0381,46,27,27,1
477,doc_0381,46,29,30,1
443,doc_0381,47,7,7,1
478,doc_0381,47,10,13,1
479,doc_0381,47,15,16,1
